-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 07/01/2024 
Location: Latitude  27.72   Longitude 85.32 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1269.39 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,QV2M,PRECTOTCORR,PS,WS10M
2023,6,11,27.12,12.45,3.82,86.6,2.45
2023,6,12,26.48,13.92,12.7,86.66,2.3
2023,6,13,24.93,15.62,17.44,86.61,2.42
2023,6,14,24.85,15.32,23.53,86.56,2.6
2023,6,15,26.31,14.71,9.98,86.5,3.64
2023,6,16,26.5,13.73,0.7,86.6,3.41
2023,6,17,27.76,13.79,6.56,86.77,2.55
2023,6,18,26.83,15.2,15.45,86.85,2.54
2023,6,19,26.33,15.14,6.06,86.85,2.34
2023,6,20,26.28,14.04,0.53,86.83,2.55
2023,6,21,25.65,13.61,1.16,86.92,2.27
2023,6,22,25.46,14.95,2.73,86.95,2.82
2023,6,23,25.98,16.42,0.04,86.94,2.71
2023,6,24,24.51,17.15,0.01,86.9,2.41
2023,6,25,24.67,16.11,0.06,86.94,1.77
2023,6,26,25.48,15.75,0.33,86.91,2.28
2023,6,27,24.51,16.42,5.93,86.85,3.49
2023,6,28,23.66,16.11,5.34,87.01,2.89
2023,6,29,23.39,17.03,8.97,86.94,2.86
2023,6,30,22.77,17.09,5.27,86.9,1.82
2023,7,1,22.85,17.21,17.57,86.94,1.6
2023,7,2,24.23,17.7,7.88,86.87,2.05
2023,7,3,23.39,18.13,17.1,86.86,2.83
2023,7,4,22.58,17.88,34.34,86.92,2.19
2023,7,5,22.34,17.27,6.83,86.89,1.64
2023,7,6,23.73,17.4,0.88,86.95,2.3
2023,7,7,23.65,17.46,1.6,87.07,2.84
2023,7,8,23.85,18.37,0.63,87.14,2.64
2023,7,9,24.2,18.98,1.02,87.03,2.81
2023,7,10,24.03,18.55,5.21,87.01,2.23
2023,7,11,23.9,18.74,7.98,86.96,2.08
2023,7,12,24.22,18.92,4.97,86.94,3.01
2023,7,13,22.9,18.74,25.14,86.94,2.98
2023,7,14,22.52,17.82,22.53,86.98,2.62
2023,7,15,23.62,18.43,17.7,86.96,2.23
2023,7,16,23.7,18.43,4.31,86.92,2.32
2023,7,17,23.47,18.01,11.89,86.87,2.38
2023,7,18,23.04,16.66,18.55,86.93,1.95
2023,7,19,24.06,16.97,1.35,86.87,1.95
2023,7,20,24.29,18.74,3.32,86.83,2.19
2023,7,21,24.06,17.58,3.45,87.11,2.25
2023,7,22,24.14,17.7,12.13,87.32,2.27
2023,7,23,23.83,18.07,13.26,87.26,2.48
2023,7,24,22.48,16.91,10.98,87.12,1.84
2023,7,25,22.83,17.27,20.54,87.13,1.9
2023,7,26,22.56,17.09,6.04,87.17,2.05
2023,7,27,22.87,17.15,5.74,87.05,1.7
2023,7,28,23.18,18.49,11.33,86.76,2.45
2023,7,29,22.94,18.86,32.43,86.75,2.27
2023,7,30,22.72,18.19,10.34,86.67,2.18
2023,7,31,24.01,18.55,12.75,86.58,2.34
2023,8,1,24.67,18.25,5.24,86.54,1.87
2023,8,2,24.01,18.74,5.68,86.57,1.62
2023,8,3,24.01,18.62,1.87,86.62,2.55
2023,8,4,22.56,17.88,1.46,86.86,1.87
2023,8,5,22.79,18.13,4.96,86.89,2.18
2023,8,6,22.77,18.01,17.82,86.63,1.82
2023,8,7,22.51,18.74,27.02,86.43,3.15
2023,8,8,23.16,18.92,44.27,86.6,2.12
2023,8,9,22.8,18.55,10.87,86.87,1.96
2023,8,10,23.1,18.86,2.45,87.03,2.46
2023,8,11,22.8,18.62,9.29,87.0,2.37
2023,8,12,23.17,19.1,42.02,86.73,3.73
2023,8,13,22.1,18.31,13.12,86.85,2.88
2023,8,14,22.66,17.94,2.23,87.03,2.42
2023,8,15,22.55,17.82,1.72,87.02,1.94
2023,8,16,23.43,18.62,8.85,87.0,2.41
2023,8,17,23.67,18.8,9.31,87.03,1.88
2023,8,18,23.51,18.98,4.96,87.05,2.18
2023,8,19,23.68,18.74,1.2,87.12,2.71
2023,8,20,22.56,17.76,7.8,87.19,2.04
2023,8,21,22.6,17.76,12.82,87.05,1.98
2023,8,22,22.77,18.25,9.27,86.98,2.25
2023,8,23,22.15,18.43,18.72,86.89,2.41
2023,8,24,22.55,18.68,25.64,86.65,2.84
2023,8,25,22.0,18.19,34.84,86.7,2.34
2023,8,26,21.86,17.7,20.28,86.67,2.22
2023,8,27,22.94,18.86,10.81,86.63,4.07
2023,8,28,22.15,17.58,2.08,86.79,2.89
2023,8,29,22.05,17.09,2.55,87.0,1.95
2023,8,30,22.58,17.64,0.23,87.12,2.13
2023,8,31,22.49,17.76,0.58,87.19,2.36
2023,9,1,22.26,18.13,2.68,87.16,2.62
2023,9,2,22.5,18.37,2.94,87.1,1.78
2023,9,3,23.42,18.8,6.69,87.04,1.01
2023,9,4,23.37,18.07,8.36,87.0,1.45
2023,9,5,22.98,17.09,0.55,87.11,1.35
2023,9,6,23.62,17.21,1.48,87.19,1.54
2023,9,7,23.07,16.42,5.82,87.21,1.47
2023,9,8,21.65,16.85,14.5,87.16,1.75
2023,9,9,21.54,16.85,4.38,87.16,2.25
2023,9,10,22.78,17.33,1.61,87.02,1.42
2023,9,11,22.85,18.43,13.72,86.9,2.31
2023,9,12,22.36,18.13,17.84,86.97,2.32
2023,9,13,22.83,17.21,8.02,87.07,1.92
2023,9,14,22.88,18.01,7.5,87.13,1.91
2023,9,15,22.3,17.4,0.7,87.26,2.3
2023,9,16,22.75,17.09,0.34,87.25,1.26
2023,9,17,22.78,17.46,2.3,87.13,1.73
2023,9,18,22.73,17.15,3.51,87.13,1.79
2023,9,19,22.33,17.03,8.68,87.32,1.95
2023,9,20,22.16,16.3,4.2,87.33,1.77
2023,9,21,21.69,16.72,3.73,87.25,1.58
2023,9,22,21.13,16.05,11.25,87.23,1.39
2023,9,23,20.8,15.93,9.3,87.21,1.35
2023,9,24,21.4,16.24,3.99,87.14,1.9
2023,9,25,20.94,15.99,1.0,87.26,1.59
2023,9,26,21.8,16.91,1.12,87.28,1.85
2023,9,27,21.93,17.27,1.75,87.24,1.83
2023,9,28,22.33,16.91,2.75,87.23,1.74
2023,9,29,23.13,16.72,0.58,87.23,1.46
2023,9,30,21.83,16.97,5.18,87.24,1.09
2023,10,1,21.58,16.97,5.34,87.15,1.48
2023,10,2,21.45,16.85,7.35,87.25,0.99
2023,10,3,21.47,16.78,12.06,87.25,1.1
2023,10,4,20.98,16.11,9.01,87.26,1.65
2023,10,5,20.96,15.99,2.91,87.21,1.79
2023,10,6,20.91,16.11,3.9,87.15,2.36
2023,10,7,20.85,16.17,0.71,87.3,2.13
2023,10,8,21.05,15.56,0.28,87.34,1.48
2023,10,9,20.69,15.38,0.76,87.4,1.85
2023,10,10,20.88,15.56,0.44,87.49,1.64
2023,10,11,20.48,13.43,0.83,87.49,1.52
2023,10,12,19.79,12.63,1.38,87.62,1.82
2023,10,13,19.75,12.15,0.03,87.73,1.54
2023,10,14,18.98,12.02,0.04,87.64,1.67
2023,10,15,18.57,12.88,0.02,87.51,1.58
2023,10,16,18.84,13.49,2.08,87.65,1.38
2023,10,17,18.44,12.39,3.45,87.71,1.48
2023,10,18,17.96,10.93,0.03,87.72,1.54
2023,10,19,17.46,10.62,0.0,87.73,1.69
2023,10,20,17.23,10.31,0.0,87.82,1.69
2023,10,21,17.25,9.89,0.0,87.92,1.67
2023,10,22,17.68,9.7,0.0,87.89,1.7
2023,10,23,18.1,9.64,0.0,87.84,1.76
2023,10,24,18.19,9.77,0.0,87.72,1.75
2023,10,25,18.23,10.5,0.0,87.72,1.86
2023,10,26,17.78,10.99,0.0,87.69,1.88
2023,10,27,17.05,10.99,0.0,87.65,1.8
2023,10,28,17.03,10.56,0.0,87.74,1.59
2023,10,29,17.19,10.93,0.0,87.77,1.45
2023,10,30,17.9,10.62,0.0,87.82,1.75
2023,10,31,18.46,10.93,0.0,87.95,1.36
2023,11,1,18.01,11.11,0.0,87.95,1.53
2023,11,2,17.67,11.17,0.0,87.77,1.69
2023,11,3,17.48,10.56,0.0,87.61,1.59
2023,11,4,16.59,10.07,0.0,87.58,1.7
2023,11,5,16.44,9.77,0.04,87.74,1.53
2023,11,6,16.19,9.58,0.0,87.88,1.57
2023,11,7,15.93,9.46,0.0,87.77,1.88
2023,11,8,15.73,9.09,0.0,87.66,1.84
2023,11,9,15.82,8.85,0.0,87.69,1.47
2023,11,10,16.27,9.52,0.0,87.86,1.47
2023,11,11,16.17,9.77,0.0,87.92,1.59
2023,11,12,16.0,10.07,0.0,87.93,1.91
2023,11,13,16.52,10.01,0.0,88.0,1.66
2023,11,14,17.3,9.83,0.0,87.94,1.31
2023,11,15,16.9,10.74,0.0,87.93,1.41
2023,11,16,17.19,10.01,0.0,88.08,1.51
2023,11,17,17.72,9.46,0.0,88.0,1.66
2023,11,18,16.34,10.38,0.0,87.9,1.73
2023,11,19,16.5,11.05,0.0,87.99,1.38
2023,11,20,16.94,10.56,0.0,87.93,1.58
2023,11,21,15.95,9.46,0.0,87.7,1.58
2023,11,22,14.94,9.09,0.0,87.62,1.67
2023,11,23,15.34,8.54,0.0,87.64,1.32
2023,11,24,15.75,8.91,0.0,87.77,1.45
2023,11,25,15.49,9.28,0.0,87.91,1.75
2023,11,26,16.22,9.34,0.0,88.05,1.33
2023,11,27,16.05,9.03,0.0,87.91,1.23
2023,11,28,15.9,9.58,0.0,87.76,1.34
2023,11,29,15.83,8.97,0.0,87.81,1.46
2023,11,30,15.55,8.3,0.0,87.9,1.56
2023,12,1,15.33,8.48,0.0,87.89,1.69
2023,12,2,15.75,7.75,0.0,87.83,2.02
2023,12,3,15.68,7.51,0.0,87.87,2.22
2023,12,4,15.74,7.51,0.0,87.81,2.05
2023,12,5,15.83,8.36,0.03,87.69,1.8
2023,12,6,15.12,8.36,2.52,87.86,1.86
2023,12,7,13.81,7.87,0.9,87.76,1.45
2023,12,8,12.75,7.69,0.03,87.55,2.05
2023,12,9,12.55,7.02,0.0,87.59,1.55
2023,12,10,12.07,6.47,0.0,87.5,1.47
2023,12,11,11.92,6.16,0.01,87.66,1.24
2023,12,12,11.9,6.23,0.0,87.54,1.64
2023,12,13,11.81,6.1,0.0,87.56,1.76
2023,12,14,11.7,5.92,0.0,87.71,1.72
2023,12,15,11.79,5.68,0.0,87.86,1.4
2023,12,16,12.3,5.92,0.0,87.72,1.41
2023,12,17,12.05,5.62,0.0,87.76,1.59
2023,12,18,12.04,5.07,0.0,87.81,1.79
2023,12,19,11.89,5.55,0.0,87.89,1.63
2023,12,20,12.42,6.04,0.0,87.91,1.22
2023,12,21,13.67,6.65,0.0,87.82,1.38
2023,12,22,13.19,7.26,0.0,87.87,1.41
2023,12,23,13.87,8.12,0.0,88.05,1.49
2023,12,24,13.75,8.12,0.0,88.06,1.89
2023,12,25,12.88,7.51,0.0,87.96,1.59
2023,12,26,12.77,7.39,0.0,87.99,1.7
2023,12,27,13.12,7.69,0.0,88.05,1.41
2023,12,28,12.94,7.51,0.0,87.92,1.73
2023,12,29,13.05,6.47,0.0,87.94,1.54
2023,12,30,12.71,5.68,0.0,87.83,1.63
2023,12,31,12.72,5.37,0.0,87.8,1.5
2024,1,1,11.75,5.37,0.0,87.73,1.91
2024,1,2,11.25,5.37,0.0,87.7,1.62
2024,1,3,11.32,5.49,0.0,87.72,1.63
2024,1,4,11.37,5.31,0.0,87.68,1.83
2024,1,5,11.76,5.25,0.0,87.75,1.63
2024,1,6,11.7,5.62,0.0,87.84,1.66
2024,1,7,12.02,6.71,0.0,87.87,1.69
2024,1,8,11.48,6.53,0.0,87.87,2.05
2024,1,9,11.73,5.25,0.0,87.79,1.89
2024,1,10,12.27,5.13,0.0,87.62,2.04
2024,1,11,10.34,5.25,0.0,87.74,1.85
2024,1,12,10.77,4.82,0.0,87.74,1.45
2024,1,13,11.55,4.88,0.0,87.71,1.22
2024,1,14,11.95,5.25,0.0,87.7,1.58
2024,1,15,11.29,5.25,0.0,87.64,1.44
2024,1,16,10.76,5.25,0.0,87.57,1.55
2024,1,17,9.65,5.19,0.0,87.55,1.45
2024,1,18,9.12,4.94,0.0,87.61,1.87
2024,1,19,8.63,4.52,0.0,87.71,1.73
2024,1,20,9.33,4.33,0.0,87.71,1.66
2024,1,21,8.94,4.15,0.0,87.6,2.09
2024,1,22,8.68,4.21,0.0,87.86,1.62
2024,1,23,9.86,4.46,0.0,87.71,1.77
2024,1,24,9.69,4.27,0.0,87.69,1.8
2024,1,25,8.67,4.09,0.0,87.83,1.84
2024,1,26,8.8,4.15,0.0,87.93,1.77
2024,1,27,9.11,4.15,0.0,87.83,1.85
2024,1,28,9.49,4.27,0.0,87.88,1.66
2024,1,29,10.65,4.39,0.01,87.8,1.63
2024,1,30,10.08,4.52,0.0,87.7,1.96
2024,1,31,10.51,4.82,0.0,87.69,1.83
2024,2,1,10.65,4.88,0.0,87.78,2.15
2024,2,2,10.63,4.7,0.01,87.55,2.95
2024,2,3,11.26,3.97,0.0,87.47,2.34
2024,2,4,10.09,4.7,0.19,87.81,1.58
2024,2,5,10.58,5.74,0.01,87.78,1.86
2024,2,6,11.47,5.07,0.0,87.72,2.66
2024,2,7,10.98,3.91,0.0,87.64,2.96
2024,2,8,10.3,3.23,0.0,87.51,2.99
2024,2,9,10.83,3.17,0.0,87.9,1.96
2024,2,10,12.51,3.42,0.0,88.05,2.25
2024,2,11,13.6,3.36,0.0,88.04,2.06
2024,2,12,13.89,3.91,0.18,88.01,2.29
2024,2,13,14.59,4.39,0.08,88.02,1.88
2024,2,14,12.64,5.19,0.55,87.89,1.22
2024,2,15,13.54,5.86,0.2,87.9,2.43
2024,2,16,14.29,5.25,0.0,87.95,2.06
2024,2,17,13.57,5.19,0.01,87.57,2.63
2024,2,18,14.06,4.52,0.0,87.58,1.88
2024,2,19,14.52,4.76,0.0,87.65,2.11
2024,2,20,15.57,5.62,0.3,87.44,2.48
2024,2,21,13.97,6.59,0.95,87.3,2.48
2024,2,22,13.51,6.29,0.0,87.34,2.25
2024,2,23,12.01,3.54,0.0,87.49,2.45
2024,2,24,11.72,2.81,0.0,87.7,2.14
2024,2,25,12.18,2.93,0.0,87.77,2.57
2024,2,26,14.51,3.48,0.0,87.83,2.58
2024,2,27,15.78,3.97,0.0,87.73,2.91
2024,2,28,15.08,5.49,0.0,87.44,3.07
2024,2,29,15.15,5.86,0.0,87.54,2.44
2024,3,1,16.16,5.25,0.0,87.66,2.16
2024,3,2,16.4,5.37,0.03,87.63,2.55
2024,3,3,15.02,7.02,1.95,87.62,2.69
2024,3,4,15.56,6.16,0.06,87.53,3.13
2024,3,5,15.14,4.52,0.0,87.49,3.04
2024,3,6,16.14,3.97,0.0,87.47,2.55
2024,3,7,16.32,4.21,0.0,87.48,2.55
2024,3,8,15.95,4.39,0.0,87.49,2.72
2024,3,9,15.86,4.52,0.0,87.55,2.41
2024,3,10,15.94,4.27,0.0,87.73,2.21
2024,3,11,17.45,4.76,0.0,87.81,2.2
2024,3,12,18.08,4.76,0.0,87.53,2.95
2024,3,13,18.37,5.13,0.0,87.45,2.83
2024,3,14,17.33,4.7,0.0,87.54,3.01
2024,3,15,18.6,4.76,0.0,87.55,2.7
2024,3,16,17.8,4.21,0.0,87.73,2.85
2024,3,17,18.03,3.42,0.0,87.69,2.69
2024,3,18,18.62,3.42,0.0,87.62,2.42
2024,3,19,18.33,4.33,2.58,87.64,2.68
2024,3,20,14.13,7.87,32.52,87.7,2.16
2024,3,21,13.08,8.91,3.99,87.65,1.45
2024,3,22,15.37,8.48,0.3,87.31,2.59
2024,3,23,16.96,8.0,0.31,87.19,2.47
2024,3,24,18.47,6.23,0.04,87.45,2.38
2024,3,25,17.06,7.14,0.54,87.57,2.56
2024,3,26,18.4,7.87,0.0,87.55,2.49
2024,3,27,18.69,7.26,0.01,87.76,2.34
2024,3,28,19.31,7.51,0.0,87.58,2.45
2024,3,29,20.19,8.85,0.0,87.51,2.34
2024,3,30,21.47,8.67,0.01,87.51,2.9
2024,3,31,22.31,7.51,0.02,87.37,3.83
2024,4,1,21.01,6.04,0.0,87.04,3.88
2024,4,2,21.23,5.55,0.0,87.03,3.08
2024,4,3,22.04,5.25,0.0,87.2,2.89
2024,4,4,23.14,5.49,0.0,87.21,3.95
2024,4,5,22.43,6.29,0.0,87.17,2.86
2024,4,6,22.13,5.86,0.0,87.18,2.78
2024,4,7,22.4,5.19,0.0,87.18,3.56
2024,4,8,21.57,4.03,0.0,87.36,3.15
2024,4,9,21.37,3.91,0.0,87.44,2.91
2024,4,10,21.48,4.39,0.0,87.49,3.04
2024,4,11,21.83,4.46,0.0,87.61,3.04
2024,4,12,21.83,5.0,0.0,87.54,2.72
2024,4,13,21.74,5.43,0.0,87.53,2.75
2024,4,14,22.83,6.35,0.0,87.59,3.11
2024,4,15,23.87,6.84,0.0,87.48,3.24
2024,4,16,24.4,7.45,0.0,87.28,2.48
2024,4,17,22.88,6.59,0.0,87.09,2.88
2024,4,18,23.78,7.02,0.0,87.03,2.45
2024,4,19,24.44,6.41,0.0,86.83,2.66
2024,4,20,25.58,5.13,0.0,86.76,4.57
2024,4,21,24.39,4.64,0.0,86.9,4.16
2024,4,22,24.65,5.62,0.0,87.06,3.54
2024,4,23,24.56,5.55,0.0,87.01,3.82
2024,4,24,23.4,5.31,0.0,87.0,3.45
2024,4,25,24.05,4.58,0.0,87.01,3.36
2024,4,26,24.57,4.39,0.0,87.04,2.84
2024,4,27,25.32,5.8,0.0,87.11,3.35
2024,4,28,25.63,5.74,0.0,87.07,4.09
2024,4,29,25.49,4.88,0.0,87.12,4.02
2024,4,30,26.36,4.64,0.0,86.81,4.23
2024,5,1,24.81,3.97,0.0,86.71,4.14
2024,5,2,22.48,3.42,0.0,86.78,3.7
2024,5,3,24.28,3.72,0.0,87.08,2.71
2024,5,4,23.51,4.94,0.0,87.15,2.38
